customerId,recommendedProducts
16016,72132|37327|35968|22831|21650|21167|20839|21785|22703|16010
16029,21931|21930|22386|22411|20712|20717|21932|22200|84997D|20713
16033,22729|22725|22192|82599|22665|22904|21181|21904|22606|21448
16042,22133|37489D|37489C|37489B|37489A|37464|22132|22035|21250|22466
16048,22633|22834|21479|22086|22114|22837|84029E|22112|22910|21930
16059,22865|22866|22112|85018D|85049A|22086|21479|84029E|85049G|22142
16081,21039|22026|21785|21650|21413|21167|21090|20980|20771|16169K
16086,20970|20971|21650|21413|21209|21167|21090|20980|20839|20771
16098,47310M|22479|22478|22256|20711|84558A|11001|85104|21662|21654
16122,22570|22147|22751|22940|20971|22750|22274|47593B|35924|20671
16125,22963|22962|22837|22867|22386|84029G|84029E|85099F|22545|17038
16138,47310M|22479|22478|22256|22842|22806|22893|85047|85132C|85132B
16140,22086|21507|22469|22666|22545|17038|85206A|22145|22021|21508
16143,82600|20727|22382|20728|78124|71496A|71495B|22513|21217|20726
16150,85068|22774|22773|22693|22805|21672|22806|21272|22767|21673
16161,84773|22586|22147|78124|71496A|71495B|22513|20971|22123|35591T
16168,22026|21785|21650|21413|21167|21090|20980|20771|16169K|16010
16186,22903|22831|22703|22026|21785|21650|21090|20980|20771|16010
16203,22730|22569|22728|22729|22147|20972|22749|22751|22149|22142
16210,22865|22867|22594|22866|85018D|22572|22574|22573|21930|22703
16218,84991|22774|21977|22775|85049F|84826|21060|21722|20725|20618
16221,37448|22644|15039|84029G|22114|22067|21830|84988|22683|21973
16233,22678|22686|22471|46000R|22672|22786|22070|21672|21259|22660
16241,22866|84029E|22633|22114|21481|22112|22111|22951|22835|21931
16244,35968|22903|22831|22026|21785|21413|21209|21090|20839|20771
16250,72819|72800D|47574A|35646|21397|22924|22081|21306|82616C|21361
16252,21245|22332|21989|21988|21987|21207|35965|20684|20674|21239
16274,84881|79190D|21613|21202|21910|85071A|84849A|22339|22246|21648
16293,22865|22632|22866|21166|22837|21620|21424|20768|20735|20659
16306,22910|84916|22681|21746|85130D|84921|35653|21281|22951|22666
16327,22903|22703|22026|21650|21413|21167|20980|20771|16169K|16010
16353,22786|22355|79302M|21609|21556|85047|22461|84531B|84531A|21934
16365,22468|46000P|21638|85170A|85059|84596J|47563A|21895|21370|72133
16385,22921|22917|22760|22643|22642|22241|21794|20707|22559|16046
16393,22837|21479|84029E|21930|22114|22086|22940|22112|22531|85018D
16402,46115B|21336|21650|21413|21209|21167|21090|20980|20839|20771
16411,22554|21984|21981|22534|22899|84992|22092|22211|20771|16169K
16422,47590B|21742|21086|21124|21390|22285|22284|22209|21538|21159
16455,84773|85232D|21171|22828|84898F|22820|22324|16168M|20967|35591T
16456,20725|21929|20717|22384|22385|21937|20726|21936|22662|21932
16477,85018D|21891|22548|22910|22618|20973|22866|22865|47590B|22733
16510,22766|84881|79190D|21910|21613|21202|22693|22170|20820|22851
16525,21157|47559B|21039|85130A|21035|22061|22101|85130D|84921|35653
16539,22572|22337|20957|22571|22641|22496|22600|84849A|35967|22339
16546,22594|22866|22579|22573|22865|22086|22577|22834|22576|22572
16550,37340|37327|35968|22831|22703|21785|16169K|16010|21413|21209
16552,21136|21174|22294|22585|21754|22910|22697|22441|21733|21882
16553,35598B|21643|21629|21620|21424|20768|20735|20659|82011B|21630
16558,35968|22703|21785|21650|21209|16010|22026|21413|21167|20980
16583,22142|21613|21202|21485|22548|22272|21905|21556|10133|84029E
16596,22559|16046|21485|46115B|21336|21479|22110|84029E|22112|71053
16634,46115B|21336|22691|22685|22683|21973|84881|79190D|21910|21613
16638,22865|22633|22867|22111|22834|21930|84029E|22114|21479|21980
16654,22961|22843|22199|22666|22624|21873|22955|22203|22035|21250
16658,71038|85230G|22818|84415B|82613B|37444C|37444A|22262|22261|20906
16679,84968F|22613|84968A|84968C|22439|21179|21744|22908|22786|22355
16700,20724|20727|21650|21413|21167|21090|20980|20839|16169K|16010
16710,21479|22865|22112|22633|22641|22496|22603|84952A|21846|21807
16713,47021G|22632|84674|21518|21070|22866|22112|84952A|21846|22831
16717,21479|22110|22867|22114|72803A|72798C|21221|22112|22632|22113
16718,22919|22921|22559|16046|22755|20674|22653|22977|22760|22643
16719,22728|84559B|22866|22141|82613B|37444C|37444A|22262|22261|20906
16722,21650|21413|16010|20980|72132|37327|35968|21167|20771|16169K
16725,84685|22673|20910|20616|15044C|21446|84507C|84508A|79302M|21202
16752,22833|47021G|84881|79190D|21910|21613|21202|22830|22412|21723
16754,84358|21914|22207|D|22564|21367|20982|90167|22403|11001
16770,22867|22834|84029E|21479|22112|21930|22114|84029G|85018D|85049A
16775,21479|22111|84029E|22866|22632|22633|84029G|85123A|21822|21695
16779,20655|22645|22691|22685|22683|21973|21616|21643|21629|21620
16781,82482|85129D|79190A|47593B|35924|20671|85130A|82483|22691|22685
16782,22662|22383|20726|21650|21413|21167|20839|20771|16169K|16010
16814,82483|21827|21785|21650|21413|21209|21167|20980|20839|20771
16817,22594|22866|22865|22632|22574|22753|22079|22573|21479|22739
